canonical_name,display_name,slug,longitude,latitude,site_type,country_code,short_description,source
Nakbe,Nakbe,nakbe,-89.86855556,17.6775,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Cancuén,Cancuén,cancuén,-90.05,16.01667,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Cancuén,Cancuén,cancuén,-90.039038888,16.014183333,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Altar de Sacrificios,Altar de Sacrificios,altar-de-sacrificios,-90.533,16.467,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Zacpeten,Zacpeten,zacpeten,-89.65,16.9833,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Paso de la Amada,Paso de la Amada,paso-de-la-amada,-92.490722222,14.876527777,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Izapa,Izapa,izapa,-92.17982222,14.92340556,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Naranjo,Naranjo,naranjo,-89.26217,17.133598,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Chunchucmil,Chunchucmil,chunchucmil,-90.19021944,20.63856111,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Machaquila,Machaquila,machaquila,-89.86,16.32,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Petén Basin,Petén Basin,petén-basin,-89.9,16.9,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Pyramid of the Magician,Pyramid of the Magician,pyramid-of-the-magician,-89.76964,20.36082,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Q2400413,Q2400413,q2400413,-88.80833333,13.65,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Tikal Temple I,Tikal Temple I,tikal-temple-i,-89.6230584,17.2220533,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Tikal Temple I,Tikal Temple I,tikal-temple-i,-89.6231,17.2221,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Tenam Puente,Tenam Puente,tenam-puente,-92.09722222,16.13305556,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Xlapak,Xlapak,xlapak,-89.60833333,20.17361111,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Minanha,Minanha,minanha,-89.074873158,16.988373032,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Nebaj,Nebaj,nebaj,-91.14722222,15.40833333,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Punta Sur,Punta Sur,punta-sur,-86.99,20.28,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Punta de Chimino,Punta de Chimino,punta-de-chimino,-90.19222222,16.43222222,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Sacul,Sacul,sacul,-89.3,16.583333333,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Xaman Ha',Xaman Ha',xaman-ha,-87.078397664,20.61875174,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Pacbitun,Pacbitun,pacbitun,-88.995,17.092,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Q3361799,Q3361799,q3361799,-89.6752,13.9901,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
"Casa Blanca, El Salvador","Casa Blanca, El Salvador",casa-blanca-el-salvador,-89.672122222,13.988894444,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Santa Elena Poco Uinic,Santa Elena Poco Uinic,santa-elena-poco-uinic,-91.739021,16.587477,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Chitinamit,Chitinamit,chitinamit,-91.089166666,15.289166666,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Chocolá,Chocolá,chocolá,-91.45,14.583333333,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
El Tintal,El Tintal,el-tintal,-89.99583,17.57444,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
El Zotz,El Zotz,el-zotz,-89.8,17.28333333,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Chiapa de Corzo,Chiapa de Corzo,chiapa-de-corzo,-93.0,16.7,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Ucanal,Ucanal,ucanal,-89.35,16.86667,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Bejucal,Bejucal,bejucal,-89.667,17.417,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Q3467062,Q3467062,q3467062,-89.67075,13.98305556,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Holmul,Holmul,holmul,-89.256,17.3,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Holmul,Holmul,holmul,-89.21667,17.3,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Hormiguero,Hormiguero,hormiguero,-89.485,18.40333,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Itzan,Itzan,itzan,-90.46667,16.56667,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
La Amelia,La Amelia,la-amelia,-90.42277778,16.52638889,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
La Blanca,La Blanca,la-blanca,-92.1386684,14.5951524,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Quelepa,Quelepa,quelepa,-88.22166667,13.52944444,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
"Blue Creek, archeological site","Blue Creek, archeological site",blue-creek-archeological-site,-88.89345,17.86799,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
El Chal,El Chal,el-chal,-89.65,16.63333333,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Baking Pot,Baking Pot,baking-pot,-89.01944444,17.20305556,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Q5725009,Q5725009,q5725009,-89.616,17.225,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Q5731519,Q5731519,q5731519,-89.66666667,13.96666667,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Cihuatán,Cihuatán,cihuatán,-89.165069444,13.981205555,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Q5823124,Q5823124,q5823124,-88.78666667,18.77138889,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Ichkabal,Ichkabal,ichkabal,-88.668611111,18.684444444,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Kukab,Kukab,kukab,-89.412083,20.926389,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Ciudad Vieja,Ciudad Vieja,ciudad-vieja,-89.0325,13.859444444,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Los Naranjos,Los Naranjos,los-naranjos,-88.02273,14.94155,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Marco Gonzalez,Marco Gonzalez,marco-gonzalez,-88.014886955,17.881997703,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
