canonical_name,display_name,slug,longitude,latitude,site_type,country_code,short_description,source
Xultún,Xultún,xultún,-89.31324,17.53075,archaeological_site,GT,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
Naachtún,Naachtún,naachtún,-89.72847,17.79405,archaeological_site,GT,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
El Zotz,El Zotz,el-zotz,-89.78963,17.24686944444445,archaeological_site,GT,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
La Muralla,La Muralla,la-muralla,-89.77366790562488,17.73721111111111,archaeological_site,GT,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
Palenque,Palenque,palenque,-92.04714444444444,17.48458611111111,archaeological_site,MX,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
Uolantún,Uolantún,uolantún,-89.57993226387832,17.18527938009992,archaeological_site,GT,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
Holtún,Holtún,holtún,-89.422002,16.973002,archaeological_site,GT,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
La Naya,La Naya,la-naya,-89.47766666666668,17.01616666666667,archaeological_site,GT,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
SacPetén,SacPetén,sacpetén,-89.66166666666666,16.987,archaeological_site,GT,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
Ixlú,Ixlú,ixlú,-89.68566666666666,16.97168888888889,archaeological_site,GT,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
Tayasal,Tayasal,tayasal,-89.89633333333333,16.93716666666667,archaeological_site,GT,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
Naranjito,Naranjito,naranjito,-89.5025,17.1285,archaeological_site,GT,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
Sibal,Sibal,sibal,-89.24883333333334,17.3605,archaeological_site,GT,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
Buenos Aires,Buenos Aires,buenos-aires,-89.17533333333333,17.03583333333333,archaeological_site,GT,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
La Blanca,La Blanca,la-blanca,-89.436,16.911,archaeological_site,GT,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
Chunhuitz,Chunhuitz,chunhuitz,-89.21635,17.16921111111111,archaeological_site,GT,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
Tzikintzakan,Tzikintzakan,tzikintzakan,-89.2373,17.03131111111111,archaeological_site,GT,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
San Clemente,San Clemente,san-clemente,-89.54609,17.01001944444445,archaeological_site,GT,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
Yalain,Yalain,yalain,-89.62836614024317,16.97996212893001,archaeological_site,GT,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
Motul,Motul,motul,-89.5389,17.016,archaeological_site,GT,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
Pozo Maya,Pozo Maya,pozo-maya,-89.38789,17.11828888888889,archaeological_site,GT,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
Yaloch,Yaloch,yaloch,-89.17113,17.31831944444446,archaeological_site,GT,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
La Sufricaya,La Sufricaya,la-sufricaya,-89.28516666666667,17.30416666666667,archaeological_site,GT,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
Holmul,Holmul,holmul,-89.2844,17.29781111111111,archaeological_site,GT,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
Kinal,Kinal,kinal,-89.24535,17.69965,archaeological_site,GT,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
Río Azul,Río Azul,río-azul,-89.2784,17.77801944444445,archaeological_site,GT,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
Dos Aguas,Dos Aguas,dos-aguas,-89.37263,17.25678055555555,archaeological_site,GT,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
Naranjo,Naranjo,naranjo,-89.25138000000001,17.13883888888889,archaeological_site,GT,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
Nakúm,Nakúm,nakúm,-89.40701,17.17421944444444,archaeological_site,GT,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
Yaxhá,Yaxhá,yaxhá,-89.39814000000001,17.06863888888889,archaeological_site,GT,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
Topoxté,Topoxté,topoxté,-89.42896,17.06053888888889,archaeological_site,GT,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
Tikal,Tikal,tikal,-89.62813,17.22218055555556,archaeological_site,GT,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
Uaxactún,Uaxactún,uaxactún,-89.63453,17.39593888888889,archaeological_site,GT,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
La Honradez,La Honradez,la-honradez,-89.28288,17.59798055555556,archaeological_site,GT,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
Xmacabatún,Xmacabatún,xmacabatún,-89.23666666666668,17.51722222222222,archaeological_site,GT,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
Chochkitam,Chochkitam,chochkitam,-89.19963000000001,17.62419,archaeological_site,GT,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
El Mirador,El Mirador,el-mirador,-89.925,17.755,archaeological_site,GT,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
Nakbé,Nakbé,nakbé,-89.83333333333333,17.67888888888889,archaeological_site,GT,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
Tortuguero,Tortuguero,tortuguero,-92.57092780423274,17.68819695312696,archaeological_site,MX,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
Comalcalco,Comalcalco,comalcalco,-93.20002975275582,18.27983322553307,archaeological_site,MX,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
Edzná,Edzná,edzná,-90.22985397339188,19.59714187268974,archaeological_site,MX,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
