canonical_name,display_name,slug,longitude,latitude,site_type,country_code,short_description,source
Xaxbil,Xaxbil,xaxbil,-89.3627903,18.4890511,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Namac,Namac,namac,-89.36782,18.5487072,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Xuch,Xuch,xuch,-89.4507325,18.4878301,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Caca de Yhanha,Caca de Yhanha,caca-de-yhanha,-89.4990809,18.5305603,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
CHanna,CHanna,channa,-89.4927895,18.4619426,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Xuch,Xuch,xuch,-89.4775116,18.4809923,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Centauro del Norte,Centauro del Norte,centauro-del-norte,-89.4660103,18.4331198,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Buenavista,Buenavista,buenavista,-86.9308347,20.3328272,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Ka'na Nah,Ka'na Nah,kana-nah,-86.8516786,20.5021424,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Nohoch Nah,Nohoch Nah,nohoch-nah,-86.8432806,20.502592,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
El Cedral,El Cedral,el-cedral,-86.9935709,20.3668268,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Grutas de Balankanche,Grutas de Balankanche,grutas-de-balankanche,-88.5347926,20.6585786,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Centro Cultural CECIJEMA,Centro Cultural CECIJEMA,centro-cultural-cecijema,-88.5838668,20.6943228,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
complejo Pava,complejo Pava,complejo-pava,-89.9060531,17.7515179,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Escalera basal,Escalera basal,escalera-basal,-89.9070497,17.7523531,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
El Tintal,El Tintal,el-tintal,-89.9991637,17.5760208,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
La Florida,La Florida,la-florida,-90.0022874,17.5117573,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Gruta del Espíritu Santo,Gruta del Espíritu Santo,gruta-del-espíritu-santo,-87.9651331,13.8212676,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Plaza Ixim,Plaza Ixim,plaza-ixim,-89.1457072,17.2554717,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Sitio Arqueológico de Finca Rosita,Sitio Arqueológico de Finca Rosita,sitio-arqueológico-de-finca-rosita,-89.5607244,13.9723425,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Los Arcos,Los Arcos,los-arcos,-91.8166968,15.101993,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
El Chircal - Escalinata,El Chircal - Escalinata,el-chircal-escalinata,-87.6476311,14.3637241,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
El Chircal - Cerro David,El Chircal - Cerro David,el-chircal-cerro-david,-87.6502623,14.3637592,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Sitio Arqueologico Zinacatan Sector 1,Sitio Arqueologico Zinacatan Sector 1,sitio-arqueologico-zinacatan-sector-1,-89.3947242,13.54675,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
izapa grupo B,izapa grupo B,izapa-grupo-b,-92.1814091,14.9144409,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Conjunto P,Conjunto P,conjunto-p,-89.6226106,17.2294758,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Sítio arqueológico Avila,Sítio arqueológico Avila,sítio-arqueológico-avila,-89.5820588,17.1977492,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Sítio arqueológico Camul,Sítio arqueológico Camul,sítio-arqueológico-camul,-89.6435028,17.1986562,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Sítio arqueológico Chikin Tikal,Sítio arqueológico Chikin Tikal,sítio-arqueológico-chikin-tikal,-89.644801,17.2125894,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Sítio arqueológico Corazal,Sítio arqueológico Corazal,sítio-arqueológico-corazal,-89.5497006,17.2195991,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Sítio arqueológico El Encanto,Sítio arqueológico El Encanto,sítio-arqueológico-el-encanto,-89.5442879,17.2635012,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Sítio arqueológico Jimbal,Sítio arqueológico Jimbal,sítio-arqueológico-jimbal,-89.612518,17.2835812,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Sítio arqueológico La Flor,Sítio arqueológico La Flor,sítio-arqueológico-la-flor,-89.5317245,17.2887495,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Tazumal,Tazumal,tazumal,-89.6746172,13.9798149,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Tixmul,Tixmul,tixmul,-88.2782913,19.3481436,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Petroglifos y Arte Rupestre Piedras Pintadas,Petroglifos y Arte Rupestre Piedras Pintadas,petroglifos-y-arte-rupestre-piedras-pintadas,-86.6633156,13.608689,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
